email,condition
student1@cofc.edu,1
student2@cofc.edu,1
student3@cofc.edu,1
student4@cofc.edu,1
student5@cofc.edu,1
student6@cofc.edu,1
student7@cofc.edu,1
student8@cofc.edu,1
student9@cofc.edu,1
student10@cofc.edu,1
student11@cofc.edu,1
student12@cofc.edu,1
student13@cofc.edu,1
student14@cofc.edu,1
student15@cofc.edu,1
student16@cofc.edu,1
student17@cofc.edu,1
student18@cofc.edu,1
student19@cofc.edu,1
student20@cofc.edu,1
student21@cofc.edu,2
student22@cofc.edu,2
student23@cofc.edu,2
student24@cofc.edu,2
student25@cofc.edu,2
student26@cofc.edu,2
student27@cofc.edu,2
student28@cofc.edu,2
student29@cofc.edu,2
student30@cofc.edu,2
student31@cofc.edu,2
student32@cofc.edu,2
student33@cofc.edu,2
student34@cofc.edu,2
student35@cofc.edu,2
student36@cofc.edu,2
student37@cofc.edu,2
student38@cofc.edu,2
student39@cofc.edu,2
student40@cofc.edu,2
student41@cofc.edu,3
student42@cofc.edu,3
student43@cofc.edu,3
student44@cofc.edu,3
student45@cofc.edu,3
student46@cofc.edu,3
student47@cofc.edu,3
student48@cofc.edu,3
student49@cofc.edu,3
student50@cofc.edu,3
student51@cofc.edu,3
student52@cofc.edu,3
student53@cofc.edu,3
student54@cofc.edu,3
student55@cofc.edu,3
student56@cofc.edu,3
student57@cofc.edu,3
student58@cofc.edu,3
student59@cofc.edu,3
student60@cofc.edu,3
